MONTH;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
NM_T (°C);0.8;1.6;5.2;8.7;13;15.9;18.2;17.7;13.9;9.5;4.7;1.8
NM_XT (°C);3.1;4.7;9.1;13.3;17.8;20.7;23.3;22.8;18.4;13.1;7.3;3.9
NM_NT (°C);-1.6;-1.3;1.6;4.4;8.4;11.1;13.3;13.0;10.0;6.3;2.2;-0.5
NM_RR06_06 (mm);76.6;62.5;69.1;58.2;78.5;79.9;71.0;75.4;76.3;86.8;76.0;86.7
NM_INS (hours);50.3;83.6;125.1;181.6;213.4;227;250.3;230.8;161.9;105.9;54.2;41
NM_U (%);87;81;75;68;69;69;67;69;76;83;88;88
NM_QFF (hPa);1019.8;1018.4;1016.4;1014.7;1015.2;1016.3;1016.5;1015.9;1016.4;1016.5;1016.4;1017.6
NM_ODRR01 (days);17;14.3;16.1;13.7;14.4;13.9;13;13.1;13;15.4;17.2;16.9
NM_OFOG (days);11.5;7.4;4.8;2.6;3;2.1;1.6;2.6;4.4;9.1;11.3;12.1
NM_OCASETHSTORM (days);0.3;0.8;0.7;2.3;6.7;9.7;8.2;7.5;3.1;1.1;<0.1;0.3
NM_OGLAZE (days);1.8;0.5;0;0;0;0;0;0;0;0;0.2;1.9
NM_OSNOW (days);8.6;8;4.7;2.1;0;0;0;0;0;<0.1;2.8;7.3
NM_OGROUNDSNOW (days);8.9;7.7;3.3;0.6;0;0;0;0;0;0;2.1;6.6
NM_ODXT25 (days);0;0;0;0.3;2.4;6.5;11.5;9.7;2.1;0;0;0
NM_ODXT30 (days);0;0;0;0;0;0.4;2.3;1.4;0.2;0;0;0
NM_ODNT0 (days);18.3;16.4;9.7;3;0.1;0;0;0;0;1.4;8.5;16.5
NM_ODXT0 (days);6.9;4.2;0.3;0;0;0;0;0;0;0;1.3;5
